concept,period,cik,val,end
Revenues,CY2023,1855447,145233000.0,2023-12-31
Revenues,CY2023,1857816,703831000.0,2023-12-31
Revenues,CY2023,1858257,380720000.0,2023-12-31
Revenues,CY2023,1861795,251415000.0,2023-12-31
Revenues,CY2023,1863006,84161000.0,2023-12-31
Revenues,CY2023,1863218,404121000.0,2023-12-31
Revenues,CY2023,1868275,24918000000.0,2023-12-31
Revenues,CY2023,1868395,150222000.0,2023-12-31
Revenues,CY2023,1877322,2774766000.0,2023-12-31
Revenues,CY2023,1878897,955578000.0,2023-12-31
Revenues,CY2023,1884516,152034000.0,2023-12-31
Revenues,CY2023,1888447,1158963000.0,2023-12-31
Revenues,CY2023,1906324,2997800000.0,2023-12-31
Revenues,CY2023,1921158,284106000.0,2023-12-31
Revenues,CY2023,1941365,2726200000.0,2023-12-31
Revenues,CY2023,1957489,129276476.0,2023-12-31
Revenues,CY2023,1973266,3224796000.0,2023-12-31
Revenues,CY2023,1993004,1422143000.0,2023-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,3197,544845000.0,2023-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,4281,6640000000.0,2023-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,6176,415319000.0,2023-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,6951,26517000000.0,2023-10-29
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,6955,598204000.0,2023-08-31
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,8063,689206000.0,2023-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,8146,148086000.0,2024-01-31
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,8670,18012200000.0,2023-06-30
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,8858,26536881000.0,2023-07-01
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,9326,922439000.0,2023-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,10456,10360000000.0,2023-12-31
